NodeLabel                 	NodeId	  Des1	  Des2	         RelTime	        CI_Lower	        CI_Upper	            Rate
disjunctum                	     1	     -	     -	               -	               -	               -	        1.346660	
discolor                  	     2	     -	     -	               -	               -	               -	        1.270420	
blandum                   	     3	     -	     -	               -	               -	               -	        0.899654	
lautum                    	     4	     -	     -	               -	               -	               -	        0.770021	
jucundum                  	     5	     -	     -	               -	               -	               -	        0.688975	
undulatum                 	     6	     -	     -	               -	               -	               -	        2.344864	
subsessile                	     7	     -	     -	               -	               -	               -	        2.483122	
tinoides 1                	     8	     -	     -	               -	               -	               -	        1.321176	
tinoides 2                	     9	     -	     -	               -	               -	               -	        1.941109	
lasiophyllum              	    10	     -	     -	               -	               -	               -	        1.376307	
triphyllum                	    11	     -	     -	               -	               -	               -	        2.553326	
pichinchense              	    12	     -	     -	               -	               -	               -	        1.647770	
jamesonii                 	    13	     -	     -	               -	               -	               -	        2.321807	
hallii                    	    14	     -	     -	               -	               -	               -	        1.978603	
toronis                   	    15	     -	     -	               -	               -	               -	        1.938945	
reticulatum               	    16	     -	     -	               -	               -	               -	        2.043353	
ayavacense                	    17	     -	     -	               -	               -	               -	        3.398197	
triphyllum new            	    18	     -	     -	               -	               -	               -	        2.447252	
seemenii                  	    19	     -	     -	               -	               -	               -	        3.422051	
dumatorum                 	    20	     -	     -	               -	               -	               -	        3.290517	
costaricanum              	    21	     -	     -	               -	               -	               -	        1.192405	
hartwegii                 	    22	     -	     -	               -	               -	               -	        1.142258	
obtusatum                 	    23	     -	     -	               -	               -	               -	        1.203561	
alpinum                   	    24	     -	     -	               -	               -	               -	        1.953269	
villosum                  	    25	     -	     -	               -	               -	               -	        1.153928	
stellato-tomentosum       	    26	     -	     -	               -	               -	               -	        1.009966	
fuscum                    	    27	     -	     -	               -	               -	               -	        1.230318	
microphyllum              	    28	     -	     -	               -	               -	               -	        0.956660	
newsp.2                   	    29	     -	     -	               -	               -	               -	        0.895647	
membranaceum              	    30	     -	     -	               -	               -	               -	        1.224679	
